Section Summaries,KEY:,, = missing sample,RED, = very low sample,, = need to fill in,, = coarsest sample,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,% Volume,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Depth,Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean:,Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,% Clay,% Silt,% Sand,
363,U1485,A,5,H,7,0.93,0.93,44.69,45.62,44.222,45.102,85A_5_7-0_7514_01.$ls,3.61,4.14,16,2.93,0.729,4.06,15.1,49.5819,63.955,79.313,100,100,100,100,100,49.5819,50.4181,0,
363,U1485,A,6,H,1,0.54,0.54,45.5,46.04,45.5,45.999,85A_6_1-0_7516_01.$ls,3.94,4.3,18,3.11,0.809,4.17,17.4,48.6743,61.3893,74.1052,100,100,100,100,100,48.6743,51.3257,0,
363,U1485,A,5,H,CC,0.42,0.42,45.62,46.04,45.102,45.5,85A_5_CC-0_7515_01.$ls,4.03,4.41,18,3.14,0.814,4.27,17.8,47.9416,60.3169,73.0527,99.9973,100,100,100,100,47.9416,52.0584,0,
363,U1485,A,6,H,2,1.36,1.36,46.04,47.4,45.999,47.258,85A_6_2-0_7517_01.$ls,3.94,4.33,18,3.14,0.794,4.19,17.5,48.5673,61.0019,73.5649,100,100,100,100,100,48.5673,51.4327,0,
363,U1485,A,6,H,3,1.43,1.43,47.4,48.83,47.258,48.58,85A_6_3-0_7519_01.$ls,4.06,4.55,18,3.19,0.793,4.39,17.8,47.1404,59.5476,72.3624,100,100,100,100,100,47.1404,52.8596,0,
363,U1485,A,6,H,4,1.12,1.12,48.83,49.95,48.58,49.616,85A_6_4-0_7520_01.$ls,4.07,4.31,16,3.33,0.784,4.17,18.6,48.7304,61.1004,72.7768,96.3929,100,100,100,100,48.7304,51.2696,0,
363,U1485,A,6,H,5,1.23,1.23,49.95,51.18,49.616,50.754,85A_6_5-0_7521_01.$ls,3.83,4.18,16,3.13,0.783,4.05,17.2,49.5808,62.0527,74.5442,100,100,100,100,100,49.5808,50.4192,0,
363,U1485,A,6,H,6,1.48,1.48,51.18,52.66,50.754,52.123,85A_6_6-0_7523_01.$ls,3.96,4.12,16,3.3,0.765,4.11,18.3,49.2182,61.2116,72.9039,98.2807,100,100,100,100,49.2182,50.7818,0,
363,U1485,A,6,H,7,1.5,1.5,52.66,54.16,52.123,53.511,85A_6_7-0_7524_01.$ls,3.93,4.15,18,3.09,0.815,4.15,17.3,48.7882,61.5267,74.3056,100,100,100,100,100,48.7882,51.2118,0,
363,U1485,A,6,H,8,1.21,1.21,54.16,55.37,53.511,54.63,85A_6_8-0_7525_01.$ls,3.59,3.77,16,3.07,0.761,3.77,16.3,52.0161,65.3407,77.3763,100,100,100,100,100,52.0161,47.9839,0,
363,U1485,A,7,H,1,1.5,1.5,55,56.5,55,56.416,85A_7_1-0_7616_01.$ls,4.03,4.14,18,2.84,0.933,4.13,16.9,48.8719,62.459,75.6473,100,100,100,100,100,48.8719,51.1281,0,
363,U1485,A,6,H,CC,0.4,0.4,55.37,55.77,54.63,55,85A_6_CC-0_7526_01.$ls,4.6,5.04,16,2.93,1.02,5.04,17.6,41.7501,56.154,71.8848,99.9973,100,100,100,100,41.7501,58.2499,0,
363,U1485,A,7,H,2,1.45,1.45,56.5,57.95,56.416,57.786,85A_7_2-0_7617_01.$ls,4.31,4.4,18,2.93,0.953,4.4,18.2,46.8837,59.9879,72.8717,99.9332,100,100,100,100,46.8837,53.1163,0,
363,U1485,A,7,H,3,1.3,1.3,57.95,59.25,57.786,59.013,85A_7_3-0_7618_01.$ls,4.29,4.38,16,2.86,0.979,4.38,17.7,46.9226,60.5518,73.6996,99.9899,100,100,100,100,46.9226,53.0774,0,
363,U1485,A,7,H,4,1.45,1.45,59.25,60.7,59.013,60.383,85A_7_4-0_7619_01.$ls,3.39,3.5,4,2.68,0.857,3.5,13.7,54.6568,68.9221,82.7492,100,100,100,100,100,54.6568,45.3432,0,
363,U1485,A,7,H,5,1.39,1.39,60.7,62.09,60.383,61.695,85A_7_5-0_7620_01.$ls,4.15,4.29,18,2.91,0.915,4.29,17.3,47.7659,60.6023,73.275,100,100,100,100,100,47.7659,52.2341,0,
363,U1485,A,7,H,6,1.5,1.5,62.09,63.59,61.695,63.112,85A_7_6-0_7621_01.$ls,3.91,4.01,16,2.86,0.897,4.01,16.6,49.8832,63.2401,76.0559,100,100,100,100,100,49.8832,50.1168,0,
