Section Summaries,,, = missing sample,RED, = sample too low,,,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume,,,,,,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean (µm),Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand,,,,,,,
363,U1484,A,8,H,4,0.78,0.78,64.5,65.28,63.906,64.5, 84A_8_5-0_7471_01.$ls,4.33,4.67,18.000,3.05,0.909,4.67,18,44.9656,58.0336,71.8382,100,100,100,100,100,44.97,55.03,0.00,,,,,,,
363,U1484,A,8,H,5,1.51,1.51,65.28,66.79,64.246,65.28, 84A_8_6-0_7473_01.$ls,4.54,5.06,18.000,3.08,0.926,5.06,17.9,42.407,55.5228,69.7682,100,100,100,100,100,42.41,57.59,0.00,,,,,,,
363,U1484,A,8,H,6,1.12,1.12,66.79,67.91,65.882,66.79, 84A_8_7-0_7472_01.$ls,4.41,4.74,18.000,3.05,0.924,4.74,18.1,44.2412,57.9649,72.1911,99.5465,100,100,100,100,44.24,55.76,0.00,,,,,,,
363,U1484,A,8,H,7,1.16,1.16,67.91,69.07,66.94,67.91, 84A_8_8-0_7474_01.$ls,4.44,4.83,18.000,3.02,0.94,4.83,18,43.7469,57.1031,71.5742,100,100,100,100,100,43.75,56.25,0.00,,,,,,,
363,U1484,A,8,H,8,0.41,0.41,69.07,69.48,68.683,69.07, 84A_8_9-0_7475_01.$ls,3.84,4.86,18.000,3.01,0.83,4.06,16.7,49.5206,62.9767,76.3285,100,100,100,100,100,49.52,50.48,0.00,,,,,,,
363,U1484,A,8,H,9,1.12,1.12,69.48,70.6,68.506,69.48, 84A_8_10-0_7476_02.$ls,12.2,15.9,73.000,4.84,1.26,15.9,75.9,27.1888,34.2964,42.2093,62.1222,82.4118,99.9889,100,100,27.19,55.22,17.59,,,,,,,
363,U1484,A,8,H,CC,0.37,0.37,71.63,72,71.148,71.5, 84A_8_cc-0_7477_01.$ls,4.51,4.48,18.000,3.52,0.821,4.48,22.3,46.6609,58.4426,69.3634,93.7836,100,100,100,100,46.66,53.34,0.00,,,,,,,
363,U1484,A,9,H,1,1.13,1.13,71.5,72.63,71.5,72.63, 84A_9_1-0_7478_01.$ls,5.44,5.26,4.000,3.98,0.851,5.26,39.3,42.6147,53.3985,64.1793,86.4178,99.6678,100,100,100,42.61,57.05,0.33,,,,,,,
363,U1484,A,9,H,2,1.4,1.4,72.63,74.03,72.005,72.63, 84A_9_2-0_7487_01.$ls,6.71,6.75,50.000,4.17,0.951,6.75,45.7,37.59,47.3386,57.5868,80.7404,99.4855,100,100,100,37.59,61.90,0.51,,,,,,,
363,U1484,A,9,H,3,1.22,1.22,74.03,75.25,73.207,74.03, 84A_9_3-0_7488_01.$ls,4.62,4.56,4.000,3.7,0.792,4.56,28.8,46.2622,57.5514,68.7152,91.4015,99.9985,100,100,100,46.26,53.74,0.00,,,,,,,
363,U1484,A,9,H,4,1.25,1.25,75.25,76.5,74.312,75.25, 84A_9_4-0_7481_01.$ls,6.14,5.96,4.000,3.85,1.02,5.96,42.2,38.1936,50.2049,62.4171,84.9843,99.5833,100,100,100,38.19,61.39,0.42,,,,,,,
363,U1484,A,9,H,5,1.41,1.41,76.5,77.91,75.4,76.5, 84A_9_5-0_7489_01.$ls,4.58,,,3.81,0.766,4.47,30.3,46.8867,58.0476,68.8834,90.6661,99.8438,100,100,100,46.89,52.96,0.16,,,,,,,
363,U1484,A,9,H,6,1.42,1.42,77.91,79.33,76.747,77.91, 84A_9_6-0_7483_01.$ls,3.57,3.78,16.000,2.91,0.811,3.78,15.6,51.9781,66.0589,79.7553,100,100,100,100,100,51.98,48.02,0.00,,,,,,,
363,U1484,A,9,H,7,1.01,1.01,79.33,80.34,78.435,79.33, 84A_9_7-0_7484_01.$ls,3.21,3.42,4.000,2.8,0.771,3.42,13.2,55.6136,70.1549,84.2656,100,100,100,100,100,55.61,44.39,0.00,,,,,,,
363,U1484,A,9,H,8,0.7,0.7,80.34,81.04,79.691,80.34, 84A_9_8-0_7485_01.$ls,3.56,3.76,16.000,2.92,0.803,3.76,15.7,52.1325,66.1962,79.7577,100,100,100,100,100,52.13,47.87,0.00,,,,,,,
363,U1484,A,9,H,CC,0.22,0.22,81.04,81.26,80.786,81, 84A_9_cc-0_7486_01.$ls,3.4,3.71,5.000,2.77,0.812,3.71,13.4,52.8607,68.2468,83.6004,100,100,100,100,100,52.86,47.14,0.00,,,,,,,
