LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,Serial Number:,,From,To,Volume ,Depth,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,C.V.:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90,,Size ,4,10,63,125,250
4/16/2017 17:14,86B_12_2-22_8300_01.$ls,86B_12_2-22,,,,,,"LS 13 320, Aqueous Liquid Module",8300,4/14/2017 12:30,91,Fraunhofer.rfd   PIDS included,12,80,OK,7625,,0.03999,2000,100,102.73,4.23634,4.79277,1.63565,0.883902,18.0014,3.72506,13.8761,0,-0.486452,-0.44043,0.621542,4.79277,20.3463,36682.8,,Size ,44.3553,69.388,100,100,100,,% <,44.4,69.4,100,100,100
4/16/2017 17:14,86B_12_5-11_8301_01.$ls,86B_12_5-11,,,,,,"LS 13 320, Aqueous Liquid Module",8301,4/14/2017 12:40,91,Fraunhofer.rfd   PIDS included,8,53,OK,7625,,0.03999,2000,100,107.12,7.86092,10.499,2.6599,0.748733,18.0014,3.44907,11.8961,0,-1.02377,0.804375,1.41926,10.499,30.9881,22557.3,,Size ,25.4936,48.6014,100,100,100,,% <,25.5,48.6,100,100,100
4/16/2017 17:14,86B_13_2-107_8302_01.$ls,86B_13_2-107,,,,,,"LS 13 320, Aqueous Liquid Module",8302,4/14/2017 12:54,90,Fraunhofer.rfd   PIDS included,12,78,OK,7625,,0.03999,2000,100,113.08,6.27991,7.28406,2.38381,0.862144,16.3982,3.66492,13.4316,0,-0.569329,-0.268588,0.964825,7.28406,32.9095,25169.8,,Size ,33.4949,58.5978,100,100,100,,% <,33.5,58.6,100,100,100
4/16/2017 17:14,86B_13_5-25_8303_01.$ls,86B_13_5-25,,,,,,"LS 13 320, Aqueous Liquid Module",8303,4/16/2017 12:18,91,Fraunhofer.rfd   PIDS included,8,55,OK,7625,,0.03999,2000,100,118.26,11.8023,14.9096,3.78758,0.791592,55.1345,3.61951,13.1009,0,-0.958832,0.608415,1.99655,14.9096,50.5805,15841.2,,Size ,17.8182,38.8444,99.4694,100,100,,% <,17.8,38.8,99.5,100,100
4/16/2017 17:14,86B_14_2-77_8304_01.$ls,86B_14_2-77,,,,,,"LS 13 320, Aqueous Liquid Module",8304,4/16/2017 12:28,90,Fraunhofer.rfd   PIDS included,8,61,OK,7625,,0.03999,2000,100,122.28,9.14334,11.989,3.41325,0.762641,16.3982,3.50852,12.3097,0,-0.826966,0.0943754,1.48166,11.989,38.647,17578.5,,Size ,22.6789,45.5901,100,100,100,,% <,22.7,45.6,100,100,100
4/16/2017 17:14,86B_14_5-124_8305_01.$ls,86B_14_5-124,,,,,,"LS 13 320, Aqueous Liquid Module",8305,4/16/2017 12:37,90,Fraunhofer.rfd   PIDS included,6,58,Low,7625,,0.03999,2000,100,127.25,3.27755,3.70584,1.82979,0.88443,12.396,2.7921,7.7958,0,-0.509439,-0.489015,0.754687,3.70584,11.7681,32790.6,,Size ,52.6067,83.6557,100,100,100,,% <,52.6,83.7,100,100,100
4/16/2017 17:14,86B_15_2-123_8306_01.$ls,86B_15_2-123,,,,,,"LS 13 320, Aqueous Liquid Module",8306,4/16/2017 12:45,90,Fraunhofer.rfd   PIDS included,9,58,OK,7625,,0.03999,2000,100,132.24,7.34706,9.40121,2.56118,0.781501,18.0014,3.49894,12.2426,0,-0.918715,0.506304,1.2514,9.40121,31.0079,23426.7,,Size ,27.2235,51.7437,100,100,100,,% <,27.2,51.7,100,100,100
4/16/2017 17:14,86B_15_5-87_8307_01.$ls,86B_15_5-87,,,,,,"LS 13 320, Aqueous Liquid Module",8307,4/16/2017 12:52,90,Fraunhofer.rfd   PIDS included,8,56,OK,7625,,0.03999,2000,100,136.38,4.5797,5.80623,1.72723,0.788756,18.0014,3.48331,12.1335,0,-0.84926,0.0231096,0.679291,5.80623,18.0894,34737.6,,Size ,38.6236,66.1392,100,100,100,,% <,38.6,66.1,100,100,100
4/16/2017 17:23,86B_16_2-104_8308_01.$ls,86B_16_2-104,,,,,,"LS 13 320, Aqueous Liquid Module",8308,4/16/2017 13:06,91,Fraunhofer.rfd   PIDS included,7,58,Low,7625,,0.03999,2000,100,141.55,9.69957,12.3795,4.01056,0.783516,16.3982,3.30655,10.9332,0,-0.776032,0.0517942,1.7488,12.3795,39.5065,14960.5,,Size ,21.2659,44.3806,100,100,100,,% <,21.3,44.4,100,100,100
4/16/2017 17:23,86B_16_5-56_8310_01.$ls,86B_16_5-56,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8310,4/16/2017 13:27,90,Fraunhofer.rfd   PIDS included,8,61,OK,7625,,0.03999,2000,100,145.57,7.73706,10.1825,2.89268,0.75984,18.0014,3.40502,11.5942,0,-0.877679,0.327123,1.3434,10.1825,31.3269,20742,,Size ,26.7243,49.4975,100,100,100,,% <,26.7,49.5,100,100,100
